2026-05-27 21:35:00.261 | INFO    | __main__:run_sign_in:943 - ============================================================
2026-05-27 21:35:00.261 | INFO    | __main__:run_sign_in:944 -                           定位打卡
2026-05-27 21:35:00.261 | INFO    | __main__:run_sign_in:945 - ============================================================
2026-05-27 21:35:00.261 | DEBUG   | __main__:validate_cookies:171 - 开始校验 Cookie...
2026-05-27 21:35:02.703 | SUCCESS | __main__:validate_cookies:196 - Cookie 校验成功: 用户处于登录状态
2026-05-27 21:35:02.704 | SUCCESS | __main__:_ensure_authenticated_session:648 - 成功加载有效 Cookie。UID: 419769862
2026-05-27 21:35:05.540 | INFO    | __main__:fetch_mobile_version:149 - 动态获取到 mobile 页面版本: dfdec28a5
2026-05-27 21:35:05.542 | INFO    | __main__:_exchange_erm_token:658 - 正在交换机构 Token (ermLogin)...
2026-05-27 21:35:06.440 | DEBUG   | __main__:log_http_details:66 - === HTTP Request Details ===
2026-05-27 21:35:06.440 | DEBUG   | __main__:log_http_details:67 - Method: GET | URL: https://hbkjzy.qmx.chaoxing.com/pedestal/user/ermLogin
2026-05-27 21:35:06.440 | DEBUG   | __main__:log_http_details:69 - Request Headers: {'User-Agent': 'Mozilla/5.0 (iPhone; CPU iPhone OS 18_7_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 (schild:c69a8a0f7107e385cfaa3a45194f99ef) (device:iPhone13,2) Language/zh-Hant com.ssreader.ChaoXingStudy/ChaoXingStudy_3_6.7.3_ios_phone_202602111700_314 (@Kalimdor)_14898949611323310882', 'Accept': 'application/json, text/plain, */*', 'Accept-Language': 'zh-CN,zh-Hans;q=0.9', 'Accept-Encoding': 'gzip, deflate, br', 'Connection': 'keep-alive', 'Referer': 'https://hbkjzy.qmx.chaoxing.com/mobile/?v=dfdec28a5'}
2026-05-27 21:35:06.440 | DEBUG   | __main__:log_http_details:74 - === HTTP Response Details ===
2026-05-27 21:35:06.440 | DEBUG   | __main__:log_http_details:75 - Status Code: 200
2026-05-27 21:35:06.440 | DEBUG   | __main__:log_http_details:76 - Response Headers: {'Date': 'Wed, 27 May 2026 13:35:06 GMT', 'Content-Type': 'application/json', 'Transfer-Encoding': 'chunked', 'Connection': 'keep-alive', 'Vary': 'Origin, Access-Control-Request-Method, Access-Control-Request-Headers', 'X-Content-Type-Options': 'nosniff', 'X-XSS-Protection': '1; mode=block', 'Cache-Control': 'no-cache, no-store, max-age=0, must-revalidate', 'Pragma': 'no-cache', 'Expires': '0', 'Set-Cookie': 'route=0c6bec89aa61d0bf4083667e6ccb4616; Path=/'}
2026-05-27 21:35:06.440 | DEBUG   | __main__:log_http_details:77 - Response Body: {"success":true,"code":20000,"message":"成功","data":{"token":"eyJhbGciOiJIUzUxMiJ9.eyJsb2dpbl91c2VyX2tleSI6IjFhOTkxZmM1LThlNmUtNDYyMS1iMWZlLTk3ZTNlZDdiZDAyMiJ9.jaZzkImb-4PYjXFj7YrM2CYI-OaClVXtdysnZgSiRnRscKKYUc7lJ69137KZ_X2iDFajHGVmm245kbM8EGpkhQ"}}
2026-05-27 21:35:06.440 | DEBUG   | __main__:log_http_details:78 - =============================
2026-05-27 21:35:06.440 | SUCCESS | __main__:_exchange_erm_token:675 - 成功获取 Token: eyJhbGciOiJIUzU...
2026-05-27 21:35:06.440 | INFO    | __main__:_get_student_role:687 - 正在获取学生角色信息 (getInfox)...
2026-05-27 21:35:06.703 | SUCCESS | __main__:_get_student_role:702 - 成功获取当前角色 ID: 4204d3304f78f805c890fa1b3eb10aa9
2026-05-27 21:35:06.704 | INFO    | __main__:_fetch_sign_metadata:715 - 正在拉取签到批次与规则数据...
2026-05-27 21:35:06.957 | DEBUG   | __main__:log_http_details:66 - === HTTP Request Details ===
