2026-05-27 21:34:47.577 | INFO    | __main__:run_sign_in:943 - ============================================================
2026-05-27 21:34:47.577 | INFO    | __main__:run_sign_in:944 -                           定位打卡
2026-05-27 21:34:47.578 | INFO    | __main__:run_sign_in:945 - ============================================================
2026-05-27 21:34:47.578 | DEBUG   | __main__:validate_cookies:171 - 开始校验 Cookie...
2026-05-27 21:34:48.981 | SUCCESS | __main__:validate_cookies:196 - Cookie 校验成功: 用户处于登录状态
2026-05-27 21:34:48.982 | SUCCESS | __main__:_ensure_authenticated_session:648 - 成功加载有效 Cookie。UID: 410430135
2026-05-27 21:34:52.318 | INFO    | __main__:fetch_mobile_version:149 - 动态获取到 mobile 页面版本: dfdec28a5
2026-05-27 21:34:52.320 | INFO    | __main__:_exchange_erm_token:658 - 正在交换机构 Token (ermLogin)...
2026-05-27 21:34:53.232 | DEBUG   | __main__:log_http_details:66 - === HTTP Request Details ===
2026-05-27 21:34:53.232 | DEBUG   | __main__:log_http_details:67 - Method: GET | URL: https://hbkjzy.qmx.chaoxing.com/pedestal/user/ermLogin
2026-05-27 21:34:53.232 | DEBUG   | __main__:log_http_details:69 - Request Headers: {'User-Agent': 'Mozilla/5.0 (iPhone; CPU iPhone OS 18_7_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 (schild:c69a8a0f7107e385cfaa3a45194f99ef) (device:iPhone13,2) Language/zh-Hant com.ssreader.ChaoXingStudy/ChaoXingStudy_3_6.7.3_ios_phone_202602111700_314 (@Kalimdor)_14898949611323310882', 'Accept': 'application/json, text/plain, */*', 'Accept-Language': 'zh-CN,zh-Hans;q=0.9', 'Accept-Encoding': 'gzip, deflate, br', 'Connection': 'keep-alive', 'Referer': 'https://hbkjzy.qmx.chaoxing.com/mobile/?v=dfdec28a5'}
2026-05-27 21:34:53.232 | DEBUG   | __main__:log_http_details:74 - === HTTP Response Details ===
2026-05-27 21:34:53.232 | DEBUG   | __main__:log_http_details:75 - Status Code: 200
2026-05-27 21:34:53.232 | DEBUG   | __main__:log_http_details:76 - Response Headers: {'Date': 'Wed, 27 May 2026 13:34:53 GMT', 'Content-Type': 'application/json', 'Transfer-Encoding': 'chunked', 'Connection': 'keep-alive', 'Vary': 'Origin, Access-Control-Request-Method, Access-Control-Request-Headers', 'X-Content-Type-Options': 'nosniff', 'X-XSS-Protection': '1; mode=block', 'Cache-Control': 'no-cache, no-store, max-age=0, must-revalidate', 'Pragma': 'no-cache', 'Expires': '0', 'Set-Cookie': 'route=146780b54f2658e58b8372d087bef4f6; Path=/'}
2026-05-27 21:34:53.232 | DEBUG   | __main__:log_http_details:77 - Response Body: {"success":true,"code":20000,"message":"成功","data":{"token":"eyJhbGciOiJIUzUxMiJ9.eyJsb2dpbl91c2VyX2tleSI6ImY4ZWNmNzk0LTIyNGQtNDc4Yy04Yjc1LTgwMGRmYTQzMzRhMCJ9.zsImAAYqsKGw13JGQt80IAENLS6-8ZB0mowPHpUlvebfW-RmEebx4gN9lqneb5FylOLKUmAgeOMmh0lFk4O6jw"}}
2026-05-27 21:34:53.232 | DEBUG   | __main__:log_http_details:78 - =============================
2026-05-27 21:34:53.232 | SUCCESS | __main__:_exchange_erm_token:675 - 成功获取 Token: eyJhbGciOiJIUzU...
2026-05-27 21:34:53.232 | INFO    | __main__:_get_student_role:687 - 正在获取学生角色信息 (getInfox)...
2026-05-27 21:34:53.500 | SUCCESS | __main__:_get_student_role:702 - 成功获取当前角色 ID: 4204d3304f78f805c890fa1b3eb10aa9
2026-05-27 21:34:53.501 | INFO    | __main__:_fetch_sign_metadata:715 - 正在拉取签到批次与规则数据...
2026-05-27 21:34:53.773 | DEBUG   | __main__:log_http_details:66 - === HTTP Request Details ===
2026-05-27 21:34:53.773 | DEBUG   | __main__:log_http_details:67 - Method: GET | URL: https://hbkjzy.qmx.chaoxing.com/housemaster/sg/roomCheckPunch/getStudentInfo?cqfs=1
2026-05-27 21:34:53.773 | DEBUG   | __main__:log_http_details:69 - Request Headers: {'User-Agent': 'Mozilla/5.0 (iPhone; CPU iPhone OS 18_7_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 (schild:c69a8a0f7107e385cfaa3a45194f99ef) (device:iPhone13,2) Language/zh-Hant com.ssreader.ChaoXingStudy/ChaoXingStudy_3_6.7.3_ios_phone_202602111700_314 (@Kalimdor)_14898949611323310882', 'Accept': 'application/json, text/plain, */*', 'Accept-Language': 'zh-CN,zh-Hans;q=0.9', 'Accept-Encoding': 'gzip, deflate, br', 'Connection': 'keep-alive', 'Referer': 'https://hbkjzy.qmx.chaoxing.com/mobile/?v=dfdec28a5'}
2026-05-27 21:34:53.773 | DEBUG   | __main__:log_http_details:74 - === HTTP Response Details ===
2026-05-27 21:34:53.773 | DEBUG   | __main__:log_http_details:75 - Status Code: 200
2026-05-27 21:34:53.773 | DEBUG   | __main__:log_http_details:76 - Response Headers: {'Date': 'Wed, 27 May 2026 13:34:53 GMT', 'Content-Type': 'application/json', 'Transfer-Encoding': 'chunked', 'Connection': 'keep-alive', 'Vary': 'Origin, Access-Control-Request-Method, Access-Control-Request-Headers', 'X-Content-Type-Options': 'nosniff', 'X-XSS-Protection': '1; mode=block', 'Cache-Control': 'no-cache, no-store, max-age=0, must-revalidate', 'Pragma': 'no-cache', 'Expires': '0', 'Set-Cookie': 'route=b1c2a11131f3a8121257834d5d90d09a; Path=/'}
2026-05-27 21:34:53.774 | DEBUG   | __main__:log_http_details:77 - Response Body: {"success":false,"code":20001,"message":"今日无需打卡","data":{}}
2026-05-27 21:34:53.774 | DEBUG   | __main__:log_http_details:78 - =============================
2026-05-27 21:34:53.774 | INFO    | __main__:_fetch_sign_metadata:727 - 今日无需打卡
2026-05-27 21:34:54.922 | DEBUG   | __main__:log_http_details:66 - === HTTP Request Details ===
2026-05-27 21:34:54.923 | DEBUG   | __main__:log_http_details:67 - Method: POST | URL: https://api.day.app/push
2026-05-27 21:34:54.923 | DEBUG   | __main__:log_http_details:71 - Request Body: {'device_key': '4BQcuEEXvfQvtDQiiwXEGU', 'title': '寝室定位打卡', 'body': '🔔 今日无需打卡', 'group': '超星自动签到'}
2026-05-27 21:34:54.923 | DEBUG   | __main__:log_http_details:74 - === HTTP Response Details ===
2026-05-27 21:34:54.923 | DEBUG   | __main__:log_http_details:75 - Status Code: 200
2026-05-27 21:34:54.923 | DEBUG   | __main__:log_http_details:76 - Response Headers: {'Server': 'nginx/1.18.0 (Ubuntu)', 'Date': 'Wed, 27 May 2026 13:34:54 GMT', 'Content-Type': 'application/json', 'Content-Length': '55', 'Connection': 'keep-alive', 'Access-Control-Allow-Origin': '*'}
